Nome Instancia,Solucao otima TSP,Solucao GRASP TSP,Tempo GRASP TSP,Solucao TSPD
singlecenter-alpha_1-32-n8,186.44,186.44,0.0,218.34
singlecenter-alpha_1-33-n8,354.38,354.38,0.0,345.91
singlecenter-alpha_1-34-n8,410.44,410.44,0.0,423.43
singlecenter-alpha_1-35-n8,338.05,338.05,0.0,368.82
singlecenter-alpha_1-36-n8,394.59,394.59,0.0,379.36
singlecenter-alpha_1-37-n8,268.19,268.19,0.0,377.50
singlecenter-alpha_1-38-n8,508.21,508.21,0.0,515.28
singlecenter-alpha_1-39-n8,343.29,343.29,0.0,400.19
singlecenter-alpha_1-4-n5,247.62,247.62,0.0,189.62
singlecenter-alpha_1-40-n8,375.52,375.52,0.0,485.32
singlecenter-alpha_1-41-n9,237.83,237.83,0.0,296.18
singlecenter-alpha_1-42-n9,566.41,566.41,0.0,670.48
singlecenter-alpha_1-43-n9,355.44,355.44,0.0,486.10
singlecenter-alpha_1-44-n9,368.25,368.25,0.0,391.88
singlecenter-alpha_1-45-n9,410.12,410.12,0.0,390.34
singlecenter-alpha_1-46-n9,384.39,384.39,0.0,470.82
singlecenter-alpha_1-47-n9,472.0,472.0,0.0,581.57
singlecenter-alpha_1-48-n9,361.17,365.63,0.0,414.37
singlecenter-alpha_1-49-n9,506.41,506.41,0.01,588.71
singlecenter-alpha_1-5-n5,248.93,248.93,0.0,193.48
singlecenter-alpha_1-50-n9,367.1,367.1,0.0,376.81
singlecenter-alpha_1-6-n5,354.47,354.47,0.0,216.85
singlecenter-alpha_1-7-n5,227.21,227.21,0.0,180.75
singlecenter-alpha_1-8-n5,152.82,152.82,0.0,130.86
singlecenter-alpha_1-9-n5,248.36,248.36,0.0,211.45
singlecenter-alpha_3-1-n5,281.1,281.1,0.0,428.49
singlecenter-alpha_3-10-n5,250.2,250.2,0.0,378.31
singlecenter-alpha_3-11-n6,266.87,266.87,0.0,355.40
singlecenter-alpha_3-12-n6,254.03,254.03,0.0,327.33
singlecenter-alpha_3-13-n6,379.73,379.73,0.0,509.32
singlecenter-alpha_3-14-n6,287.58,287.2,0.0,238.48
singlecenter-alpha_3-15-n6,267.25,267.25,0.0,405.13
singlecenter-alpha_3-16-n6,252.95,252.95,0.0,335.01
